"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2018-02-03 19:20:00,,,信息,,,当前EMA交叉数 -14 ，持仓量 0 ，币价 0.1344403 ，价格没有下跌到买入点，继续观察行情...
2018-02-03 19:36:00,,,信息,,,当前EMA交叉数 -14 ，持仓量 0 ，币价 0.1351798 ，价格没有下跌到买入点，继续观察行情...
2018-02-03 19:54:00,,,信息,,,当前EMA交叉数 -14 ，持仓量 0 ，币价 0.1357805 ，价格没有下跌到买入点，继续观察行情...
2018-02-03 20:12:00,,,信息,,,当前EMA交叉数 -14 ，持仓量 0 ，币价 0.136148 ，价格没有下跌到买入点，继续观察行情...
2018-02-03 20:32:00,,,信息,,,当前EMA交叉数 -14 ，持仓量 0 ，币价 0.1351466 ，价格没有下跌到买入点，继续观察行情...
2018-02-03 20:50:00,,,信息,,,当前EMA交叉数 -14 ，持仓量 0 ，币价 0.1350427 ，价格没有下跌到买入点，继续观察行情...
2018-02-03 21:22:55,,,信息,,,当前EMA交叉数 -14 ，持仓量 0 ，币价 0.136084 ，价格没有下跌到买入点，继续观察行情...
2018-02-03 21:58:00,,,信息,,,当前EMA交叉数 -14 ，持仓量 0 ，币价 0.134933 ，价格没有下跌到买入点，继续观察行情...
2018-02-03 22:20:00,,,信息,,,当前EMA交叉数 -14 ，持仓量 0 ，币价 0.135176 ，价格没有下跌到买入点，继续观察行情...
2018-02-03 22:36:00,,,信息,,,当前EMA交叉数 -14 ，持仓量 0 ，币价 0.1355656 ，价格没有下跌到买入点，继续观察行情...
2018-02-03 22:54:00,,,信息,,,当前EMA交叉数 -14 ，持仓量 0 ，币价 0.135656 ，价格没有下跌到买入点，继续观察行情...
2018-02-03 23:12:00,,,信息,,,当前EMA交叉数 -14 ，持仓量 0 ，币价 0.135656 ，价格没有下跌到买入点，继续观察行情...
2018-02-03 23:32:00,,,信息,,,当前EMA交叉数 -14 ，持仓量 0 ，币价 0.134602 ，价格没有下跌到买入点，继续观察行情...
2018-02-03 23:50:00,,,信息,,,当前EMA交叉数 -14 ，持仓量 0 ，币价 0.1346285 ，价格没有下跌到买入点，继续观察行情...
